Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,fDOM QSU,fDOM RFU,Turbidity FNU,TSS mg/L,Battery V,Cable Pwr V
9/19/2020,11:30:00,0,DK,-2.68,-1.04,67.98,0,2.61,0
9/19/2020,11:45:00,0,DK,-2.71,-1.06,67.56,0,2.63,0
9/19/2020,12:00:00,0,DK,-2.61,-1.02,67.54,0,2.62,0
9/19/2020,12:15:00,0,DK,-2.66,-1.04,67.32,0,2.61,0
9/19/2020,12:30:00,0,DK,129.56,47.74,1.77,0,2.61,0
9/19/2020,12:45:00,0,DK,128.8,47.46,1.56,0,2.6,0
9/19/2020,13:00:00,0,DK,129.05,47.55,0.73,0,2.6,0
9/19/2020,13:15:00,0,DK,128.42,47.32,1.8,0,2.6,0
9/19/2020,13:30:00,0,DK,128.4,47.31,0.73,0,2.6,0
9/19/2020,13:45:00,0,DK,128.07,47.19,0.83,0,2.6,0
9/19/2020,14:00:00,0,DK,129,47.53,0.67,0,2.6,0
9/19/2020,14:15:00,0,DK,129.2,47.6,0.54,0,2.6,0
9/19/2020,14:30:00,0,DK,129.9,47.86,0.62,0,2.6,0
9/19/2020,14:45:00,0,DK,127.95,47.14,0.56,0,2.6,0
9/19/2020,15:00:00,0,DK,129.23,47.61,0.77,0,2.6,0
9/19/2020,15:15:00,0,DK,129.12,47.57,0.81,0,2.6,0
9/19/2020,15:30:00,0,DK,131.05,48.29,0.77,0,2.6,0
9/19/2020,15:45:00,0,DK,129.47,47.7,1.1,0,2.6,0
9/19/2020,16:00:00,0,DK,132.61,48.86,0.97,0,2.6,0
9/19/2020,16:15:00,0,DK,133.92,49.34,1.05,0,2.6,0
9/19/2020,16:30:00,0,DK,131.89,48.59,0.9,0,2.6,0
9/19/2020,16:45:00,0,DK,130.78,48.18,0.93,0,2.6,0
9/19/2020,17:00:00,0,DK,131.26,48.36,0.69,0,2.6,0
9/19/2020,17:15:00,0,DK,130.73,48.17,0.85,0,2.6,0
9/19/2020,17:30:00,0,DK,130.71,48.16,0.77,0,2.6,0
9/19/2020,17:45:00,0,DK,130.31,48.01,0.74,0,2.6,0
9/19/2020,18:00:00,0,DK,129.7,47.79,0.87,0,2.6,0
9/19/2020,18:15:00,0,DK,128.93,47.51,0.9,0,2.6,0
9/19/2020,18:30:00,0,DK,128.04,47.17,1.1,0,2.59,0
9/19/2020,18:45:00,0,DK,128.1,47.2,0.92,0,2.6,0
9/19/2020,19:00:00,0,DK,128.25,47.25,1.07,0,2.59,0
9/19/2020,19:15:00,0,DK,128.33,47.28,1.15,0,2.6,0
9/19/2020,19:30:00,0,DK,128.4,47.31,1,0,2.59,0
9/19/2020,19:45:00,0,DK,128.16,47.22,0.94,0,2.59,0
9/19/2020,20:00:00,0,DK,128,47.16,0.78,0,2.59,0
9/19/2020,20:15:00,0,DK,128.27,47.26,1.3,0,2.59,0
9/19/2020,20:30:00,0,DK,128.37,47.3,0.72,0,2.59,0
9/19/2020,20:45:00,0,DK,128.05,47.18,0.68,0,2.59,0
9/19/2020,21:00:00,0,DK,128.24,47.25,0.75,0,2.59,0
9/19/2020,21:15:00,0,DK,128.15,47.22,0.75,0,2.59,0
9/19/2020,21:30:00,0,DK,128.34,47.29,0.67,0,2.59,0
9/19/2020,21:45:00,0,DK,128.54,47.36,0.63,0,2.59,0
9/19/2020,22:00:00,0,DK,128.19,47.23,0.57,0,2.59,0
9/19/2020,22:15:00,0,DK,128.17,47.22,0.76,0,2.59,0
9/19/2020,22:30:00,0,DK,128.21,47.24,0.56,0,2.59,0
9/19/2020,22:45:00,0,DK,128.12,47.21,0.58,0,2.59,0
9/19/2020,23:00:00,0,DK,128.32,47.28,0.56,0,2.58,0
9/19/2020,23:15:00,0,DK,128.51,47.35,0.56,0,2.59,0
9/19/2020,23:30:00,0,DK,128.48,47.34,0.57,0,2.58,0
9/19/2020,23:45:00,0,DK,128.44,47.32,0.55,0,2.59,0
9/20/2020,0:00:00,0,DK,128.39,47.3,0.56,0,2.59,0
9/20/2020,0:15:00,0,DK,128.42,47.31,0.59,0,2.59,0
9/20/2020,0:30:00,0,DK,128.9,47.49,0.54,0,2.58,0
9/20/2020,0:45:00,0,DK,128.83,47.47,0.57,0,2.59,0
9/20/2020,1:00:00,0,DK,129.17,47.59,0.58,0,2.58,0
9/20/2020,1:15:00,0,DK,129.45,47.69,0.72,0,2.58,0
9/20/2020,1:30:00,0,DK,129.66,47.77,0.58,0,2.58,0
9/20/2020,1:45:00,0,DK,129.76,47.81,0.55,0,2.58,0
9/20/2020,2:00:00,0,DK,129.73,47.8,0.57,0,2.58,0
9/20/2020,2:15:00,0,DK,129.84,47.84,0.55,0,2.58,0
9/20/2020,2:30:00,0,DK,129.78,47.82,0.53,0,2.58,0
9/20/2020,2:45:00,0,DK,130.04,47.91,0.55,0,2.58,0
9/20/2020,3:00:00,0,DK,130.1,47.94,0.5,0,2.58,0
9/20/2020,3:15:00,0,DK,130.13,47.95,0.59,0,2.58,0
9/20/2020,3:30:00,0,DK,130.35,48.03,0.52,0,2.58,0
9/20/2020,3:45:00,0,DK,130.34,48.03,0.49,0,2.58,0
9/20/2020,4:00:00,0,DK,130.3,48.01,0.53,0,2.58,0
9/20/2020,4:15:00,0,DK,130.56,48.1,0.51,0,2.58,0
9/20/2020,4:30:00,0,DK,130.36,48.03,0.49,0,2.58,0
9/20/2020,4:45:00,0,DK,130.61,48.12,0.45,0,2.58,0
9/20/2020,5:00:00,0,DK,130.78,48.18,0.48,0,2.57,0
9/20/2020,5:15:00,0,DK,130.69,48.15,0.88,0,2.58,0
9/20/2020,5:30:00,0,DK,130.88,48.22,0.52,0,2.57,0
9/20/2020,5:45:00,0,DK,130.87,48.22,0.52,0,2.58,0
9/20/2020,6:00:00,0,DK,130.86,48.22,0.51,0,2.57,0
9/20/2020,6:15:00,0,DK,130.82,48.2,0.51,0,2.58,0
9/20/2020,6:30:00,0,DK,130.75,48.18,0.52,0,2.57,0
9/20/2020,6:45:00,0,DK,130.99,48.26,0.5,0,2.58,0
9/20/2020,7:00:00,0,DK,130.99,48.26,0.46,0,2.57,0
9/20/2020,7:15:00,0,DK,131.17,48.33,0.5,0,2.58,0
9/20/2020,7:30:00,0,DK,131.12,48.31,0.47,0,2.57,0
9/20/2020,7:45:00,0,DK,131.15,48.32,0.5,0,2.58,0
9/20/2020,8:00:00,0,DK,131.2,48.34,0.45,0,2.57,0
9/20/2020,8:15:00,0,DK,131.3,48.38,0.83,0,2.57,0
9/20/2020,8:30:00,0,DK,131.26,48.36,0.48,0,2.57,0
9/20/2020,8:45:00,0,DK,131.69,48.52,0.44,0,2.57,0
9/20/2020,9:00:00,0,DK,131.33,48.39,0.52,0,2.57,0
9/20/2020,9:15:00,0,DK,131.32,48.38,0.43,0,2.57,0
9/20/2020,9:30:00,0,DK,131.66,48.51,0.44,0,2.57,0
9/20/2020,9:45:00,0,DK,132.28,48.74,0.46,0,2.57,0
9/20/2020,10:00:00,0,DK,133.01,49.01,0.42,0,2.57,0
9/20/2020,10:15:00,0,DK,132.37,48.77,0.47,0,2.57,0
9/20/2020,10:30:00,0,DK,133.03,49.02,0.4,0,2.57,0
9/20/2020,10:45:00,0,DK,133.43,49.16,0.42,0,2.57,0
9/20/2020,11:00:00,0,DK,134.19,49.44,0.44,0,2.57,0
9/20/2020,11:15:00,0,DK,136.91,50.45,0.4,0,2.57,0
9/20/2020,11:30:00,0,DK,136.61,50.33,0.45,0,2.57,0
9/20/2020,11:45:00,0,DK,134.35,49.5,0.41,0,2.57,0
9/20/2020,12:00:00,0,DK,133.73,49.28,0.41,0,2.57,0
9/20/2020,12:15:00,0,DK,133.32,49.12,0.45,0,2.57,0
9/20/2020,12:30:00,0,DK,133.02,49.01,0.41,0,2.57,0
9/20/2020,12:45:00,0,DK,132.28,48.74,0.39,0,2.57,0
9/20/2020,13:00:00,0,DK,131.99,48.63,0.42,0,2.57,0
